# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-4.0561,0,4.0785,0,0,0,0,0,0.42632,32.9,-106,9.7954,84,0,0,0,36072,10649,61.456,0.1678,NaN,102.78,NaN,0.0063808,579971,204.29,1.0866e-4,0.72732,0.0019705,0.54666,0.060656,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,9.385e-4
0.01,0,0,7.2084,0,7.2482,0,0,0,0,0,0.75764,32.9,-106,9.7954,84,0,0,0,36072,10649,61.456,0.1678,NaN,102.78,NaN,0.0063328,575614,612.86,1.0716e-4,0.72818,0.0019729,0.54752,0.060656,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.0012427
0.02,3.6053e-4,0.072111,18.478,0.072508,18.58,3.7893e-5,0,3.7893e-5,0,0.0075792,1.9421,32.9,-106,9.7954,82.075,0,0,0,36065,10642,61.447,0.16774,NaN,102.77,NaN,0.0063107,573606,1021.4,2.4016e-4,0.72858,0.0044525,0.54792,0.060656,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8991e-6,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.0015475
0.03,0.0020057,0.25694,24.627,0.25835,24.763,2.1081e-4,0,2.1081e-4,0,0.027005,2.5884,32.9,-106,9.7954,77.181,0,0,0,36058,10636,61.439,0.16768,NaN,102.76,NaN,0.0063613,578206,1244.2,9.7501e-4,0.72767,0.01779,0.547,0.060656,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1708e-5,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.0019748
0.04,0.0058067,0.50327,25.203,0.50605,25.342,6.1031e-4,0,6.1031e-4,0,0.052896,2.649,32.9,-106,9.7954,70.875,0,0,0,36050,10627,61.428,0.16759,NaN,102.75,NaN,0.0065147,592146,1264.8,0.003131,0.72494,0.05447,0.54428,0.060656,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2108e-5,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.0021807
0.05,0.0121,0.75539,25.333,0.75955,25.472,0.0012718,0,0.0012718,0,0.079395,2.6626,32.9,-106,9.7954,64.795,0,0,0,36040,10617,61.415,0.16748,NaN,102.74,NaN,0.0067502,613545,1269.1,0.0070567,0.72092,0.11435,0.54026,0.060656,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3221e-5,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.002415
0.06,0.020921,1.0088,25.571,1.0144,25.712,0.0021989,0,0.0021989,0,0.10603,2.6876,32.9,-106,9.7954,59.465,0,0,0,36030,10607,61.402,0.16736,NaN,102.73,NaN,0.007141,649074,1277.4,0.012891,0.71464,0.18665,0.53398,0.060657,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2449e-4,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.0027346
0.07,0.032288,1.2646,25.918,1.2715,26.061,0.0033936,0,0.0033936,0,0.13291,2.7241,32.9,-106,9.7954,54.68,0,0,0,36020,10597,61.389,0.16725,NaN,102.71,NaN,0.0075912,689986,1289.6,0.020733,0.70794,0.26565,0.52727,0.060657,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5606e-4,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.002982
0.08,0.04623,1.5238,26.266,1.5322,26.411,0.0048589,0,0.0048589,0,0.16016,2.7607,32.9,-106,9.7954,50.401,0,0,0,36010,10587,61.376,0.16714,NaN,102.7,NaN,0.0080947,735749,1301.9,0.030629,0.70103,0.34514,0.52037,0.060657,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8805e-4,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.003207
0.09,0.062782,1.7866,26.614,1.7964,26.76,0.0065986,0,0.0065986,0,0.18778,2.7972,32.9,-106,9.7954,46.592,0,0,0,36000,10577,61.363,0.16702,NaN,102.69,NaN,0.008645,785767,1314.1,0.042556,0.6941,0.42044,0.51344,0.060657,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2048e-4,6.155,191.96,84,0,NaN,14.675,1007.4,340.19,0.01,0.0034321
0.1,0.081979,2.0528,26.962,2.0641,27.11,0.0086163,0,0.0086163,0,0.21576,2.8338,32.9,-106,9.7954,43.208,0,0,0,35990,10567,61.35,0.16691,NaN,102.68,NaN,0.0092363,839516,1326.4,0.056468,0.68727,0.48873,0.5066,0.060657,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5333e-4,6.155,191.96,84,0,NaN,14.674,1007.4,340.19,0.01,0.0037525
0.11,0.10386,2.3225,27.31,2.3353,27.46,0.010916,0,0.010916,0,0.24411,2.8704,32.9,-106,9.7954,40.145,0,0,0,35980,10557,61.337,0.1668,NaN,102.66,NaN,0.0098538,895642,1338.6,0.072327,0.68072,0.54999,0.50005,0.060658,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8662e-4,6.155,191.96,84,0,NaN,14.674,1007.4,340.19,0.01,0.0039469
0.12,0.12845,2.5957,27.655,2.61,27.807,0.0135,0,0.0135,0,0.27282,2.9067,32.9,-106,9.7954,37.416,0,0,0,35970,10547,61.324,0.16668,NaN,102.65,NaN,0.010504,954763,1350.7,0.090048,0.67437,0.60257,0.4937,0.060658,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2033e-4,6.155,191.96,84,0,NaN,14.674,1007.4,340.19,0.01,0.0041194
0.13,0.15579,2.8723,27.998,2.8881,28.152,0.016374,0,0.016374,0,0.30189,2.9427,32.9,-106,9.7954,34.981,0,0,0,35960,10537,61.31,0.16657,NaN,102.64,NaN,0.011184,1016555,1362.8,0.10957,0.66826,0.64676,0.48758,0.060658,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5447e-4,6.155,191.96,84,0,NaN,14.674,1007.4,340.19,0.01,0.0043421
0.14,0.18591,3.1524,28.341,3.1698,28.497,0.01954,0,0.01954,0,0.33133,2.9787,32.9,-106,9.7954,32.801,0,0,0,35950,10527,61.297,0.16645,NaN,102.63,NaN,0.01189,1080745,1374.8,0.13083,0.6624,0.68324,0.48172,0.060659,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8903e-4,6.155,191.96,84,0,NaN,14.674,1007.4,340.19,0.01,0.0045969
0.15,0.21885,3.4359,28.683,3.4548,28.841,0.023002,0,0.023002,0,0.36113,3.0148,32.9,-106,9.7954,30.845,0,0,0,35940,10517,61.284,0.16634,NaN,102.61,NaN,0.012621,1147114,1386.8,0.15378,0.6568,0.71285,0.47612,0.060659,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2401e-4,6.155,191.96,84,0,NaN,14.674,1007.4,340.19,0.01,0.0048106
0.16,0.25464,3.7228,29.027,3.7433,29.186,0.026764,0,0.026764,0,0.39128,3.0508,32.9,-106,9.7954,29.137,0,0,0,35930,10507,61.271,0.16622,NaN,102.6,NaN,0.013382,1216289,1398.9,0.17839,0.65139,0.73555,0.47071,0.06066,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5942e-4,6.155,191.96,84,0,NaN,14.673,1007.4,340.19,0.01,0.0050675
0.17,0.29332,4.0132,29.37,4.0353,29.532,0.03083,0,0.03083,0,0.4218,3.0869,32.9,-106,9.7954,27.596,0,0,0,35919,10497,61.258,0.16611,NaN,102.59,NaN,0.014162,1287244,1410.9,0.20464,0.64624,0.75335,0.46556,0.06066,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9525e-4,6.155,191.96,84,0,NaN,14.673,1007.4,340.19,0.01,0.0053206
0.18,0.33492,4.3069,29.713,4.3307,29.877,0.035202,0,0.035202,0,0.45268,3.123,32.9,-106,9.7954,26.199,0,0,0,35909,10487,61.244,0.16599,NaN,102.58,NaN,0.014961,1359859,1422.9,0.23253,0.64134,0.76702,0.46065,0.060661,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3151e-4,6.155,191.96,84,0,NaN,14.673,1007.3,340.19,0.01,0.0055546
